BGC	Genus	Name	Compound_count	MW	TPSA	LOGP	HACC	HDON	Type	Activities	Structure	Antibacterial	Antifungal	Siderophore	Orf_length
BGC0001822	Cystobacter	vioprolide A	1	862.425875804	256.45	-0.8073	13	6	NRP	NA	C\C=C1/NC(=O)C2CSC(=N2)C2CC(C)N2C(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(O)COC(=O)C(C(C)C)N(C)C(=O)C(NC(=O)C2CCCCN2C1=O)C(C)O	0	0	0	0	12
BGC0001687	uncultured	N-tetradecanoyl tyrosine	1	365.2566086	89.79	3.6511	4	4	Other	NA	CCCCCCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(O)O	3	0	0	0	32
BGC0000195	Streptomyces	alnumycin A	9	416.147117728	122.52	2.0245	8	3	Polyketide	NA	OC1=C2C(C=C(C)O[C@@H]2CCC)=CC3=C1C(C([C@]4([H])O[C@@H](CO)[C@H](O)CO4)=CC3=O)=O	1	0	0	0	32
BGC0000292	Aspergillus	acetylaranotin	1	504.0661076	111.68	1.7084	10	0	NRP	NA	CC(=O)OC1C=COC=C2C1N3C(=O)C45CC6=COC=CC(C6N4C(=O)C3(C2)SS5)OC(=O)C	2	0	0	0	10
BGC0002015	Streptomyces	aborycin	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	14
BGC0002020	Photorhabdus	photolose	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	0	0	0	0	5
BGC0001759	Amycolatopsis	rifamorpholine A	5	711.2890905	210.54	4.26912	13	6	Polyketide	NA	C[C@@H]1[C@H](/C=C/O[C@@]2(C(=O)C3=C(O2)C(=C(C4=C3C(=C(C5=C4O[C@@](/C=C\C=C(\[C@H]([C@H]([C@H]([C@H]([C@@H]1OC(=O)C)C)O)C)O)/C)(C(=O)N5)C)O)O)O)C)C)OC	1	0	0	0	63
BGC0001765	Agrobacterium	salecan	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	0	0	0	0	20
BGC0001784	Streptomyces	streptoseomycin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	1	0	0	0	41
BGC0001692	Xenorhabdus	nematophin	1	272.15247788	61.96	2.4418	2	2	NRP	NA	CCC(C)C(=O)C(=O)NCCC1=CNC2=CC=CC=C12	0	0	0	0	16
BGC0001341	Rothia	valinomycin	1	1110.63116004	332.4	2.3433	18	6	NRP	NA	CC(C)[C@@H]1NC(=O)C(C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C	1	0	0	0	5
BGC0001252	Alternaria	UNII-YC2Q1O94PT	1	354.20423868	107.22	2.0112	6	4	Polyketide	NA	C/C=C(\C)/[C@H]([C@@H](C)/C=C/[C@H]([C@@H](C)[C@H](C[C@@H]1CC(=CC(=O)O1)O)O)O)O	2	0	0	0	1
BGC0001670	Streptomyces	monensin	1	670.429212804	153.37	4.2729	10	4	Polyketide	NA	CCC1(CCC(O1)C1(C)CCC2(CC(O)C(C)C(O2)C(C)C(OC)C(C)C(O)=O)O1)C1OC(CC1C)C1OC(O)(CO)C(C)CC1C	1	0	0	0	20
BGC0001212	Nannocystis	nannocystin a	1	815.3315357	167.03	5.8544	9	4	NRP	Antifungal,Cytotoxic	C[C@@H](CC)[C@@H]1N(C([C@@]2(C)[C@H](C[C@H](/C(C)=C/C=C/[C@H]([C@@H](C3=CC=CC=C3)OC([C@H](C(O)(C)C)NC([C@H](NC1=O)CC4=CC(Cl)=C(O)C(Cl)=C4)=O)=O)C)OC)O2)=O)C	0	0	1	0	14
BGC0000657	Pseudanabaena	2-methylisoborneol	1	413.004489092	80.73	2.20079	8	1	Terpene	Odorous metabolite	COC(=O)[C@@H]1C[C@@H](CN1CN2C(=S)OC(=N2)C3=CC(=CC=C3)Br)O	0	0	0	0	4
BGC0001874	Aspergillus	cyclopiazonic acid	1	336.384	NA	NA	NA	NA	NRP	Cytotoxic,Inhibitor	NA	2	0	0	0	3
BGC0001606	Fusarium	gibepyrone-A	1	164.083729624	30.21	2.37142	2	0	Polyketide	NA	C\C=C(/C)C1=CC=C(C)C(=O)O1	2	0	0	0	5
BGC0000309	Bacillus	bacillibactin	1	882.255558504	374.88	-2.2269	18	12	NRP	NA	C[C@@H]1[C@@H](C(=O)O[C@@H]([C@@H](C(=O)O[C@@H]([C@@H](C(=O)O1)NC(=O)CNC(=O)C2=C(C(=CC=C2)O)O)C)NC(=O)CNC(=O)C3=C(C(=CC=C3)O)O)C)NC(=O)CNC(=O)C4=C(C(=CC=C4)O)O	1	0	0	0	13
BGC0000067	Streptomyces	geldanamycin	1	560.27338086	163.48	2.4084	9	3	Polyketide	NA	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC	1	0	0	0	4
BGC0001150	Streptomyces	pamamycin-607	1	607.444803292	83.53	6.3214	8	0	Polyketide	NA	CCCC(CC1CCC(O1)C(C)C1OC(=O)C(C)C2CCC(CC(CCC)OC(=O)C(C)C3CCC(O3)C1C)O2)N(C)C	1	0	0	0	20
BGC0001887	Bacillus	huazacin	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	5
BGC0001452	Streptomyces	sipanmycin	1	-1	NA	NA	NA	NA	Polyketide	Cytotoxic	NA	1	0	0	0	36
BGC0001724	Penicillium	oxaleimide C	1	-1	NA	NA	NA	NA	NRP	NA	NA	2	0	0	0	20
BGC0001006	Salinispora	lymphostin	4	310.106590308	106.67	2.1822	6	2	NRP	Inhibitor	CO\C=C\C(=O)C1=NC2=C3C(C=NC3=C(N)C=C2NC(C)=O)=C1	1	0	0	0	12
BGC0000541	Paenibacillus	paenicidin A	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	7
BGC0001545	Fusarium	chrysogine	1	190.07422756	65.98	0.9764	3	2	NRP	NA	C[C@H](O)C1=NC2=C(C=CC=C2)C(=O)N1	2	0	0	0	6
BGC0001148	Streptomyces	pheganomycin	1	610.307474924	318.8	-2.5059	10	11	NRP	NA	CC(C)(C)[C@@H](C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C1=CC(=C(C(=C1)O)CO)O)N=C(N)N	1	0	0	0	21
BGC0000288	Streptomyces	A-503083 A	4	626.218385148	285.85	-4.0812	14	7	NRP	NA	COC1C(OC(N)=O)C(OC1C(OC1OC(=CC(O)C1O)C(=O)NC1CCCC(C)NC1=O)C(N)=O)N1C=CC(=O)NC1=O	1	0	0	0	55
BGC0000949	Streptomyces	A-500359 A	2	583.212571496	253.76	-4.1842	13	7	NRP	NA	O[C@@H]1[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(N[C@@H]3C(N[C@H](C)CCC3)=O)=O)=C[C@H](O)[C@@H]2O)O[C@H]1N(C=C4)C(NC4=O)=O	1	0	0	0	37
BGC0000086	Streptomyces	lasalocid	1	612.363812936	136.35	1.51152	8	3	Polyketide	NA	CCC(C1C(CC(O1)(CC)C2CCC(C(O2)C)(CC)O)C)C(=O)C(C)C(C(C)CCC3=C(C(=C(C=C3)C)O)C(=O)[O-])O.[Na+]	1	0	0	0	24
BGC0002008	Xenorhabdus	aryl polyenes	1	-1	NA	NA	NA	NA	Other	NA	NA	0	0	0	0	18
BGC0000092	Micromonospora	megalomicin A	4	876.55586986	226.61	1.5818	17	6	Polyketide	NA	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O[C@H]4C[C@H]([C@H]([C@@H](O4)C)O)N(C)C)C)C)O)(C)O	1	0	0	0	19
BGC0000298	Microcystis	aeruginosin 98-A	3	688.2657257	244.47	0.81697	9	8	NRP	Inhibitor	[H]C12CC(N(C(=O)[C@H](NC(=O)C(O)CC3=CC(Cl)=C(O)C=C3)[C@H](C)CC)C1([H])CC(CC2)OS(O)(=O)=O)C(=O)NCCCCNC(N)=N	0	0	0	0	14
BGC0001941	Myxococcus	fulvuthiacene A	2	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	24
BGC0000359	Thermobifida	fuscachelin A	3	1029.42642081	509.36	-6.4976	18	17	NRP	NA	C1C[C@@H](C(=O)OC[C@@H](C(=O)N(C1)O)NC(=O)CNC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)CNC(=O)CNC(=O)[C@@H](CCCN=C(N)N)NC(=O)C3=C(C(=CC=C3)O)O	1	0	0	0	9
BGC0000955	Myxococcus	althiomycin	1	439.062025264	149.76	-0.3804	11	3	NRP	Antibacterial	COC1=CC(=O)N(C1)C(=O)C2CSC(=N2)C(CO)NC(=O)C3=CSC(=CN=O)N3	0	1	0	0	6
BGC0000799	Escherichia	colanic acid	1	-1	NA	NA	NA	NA	Saccharide	NA	NA	0	0	0	0	21
BGC0000422	Streptomyces	saframycin A	2	562.20636392	163.18	-0.14942	11	1	NRP	NA	CC1=C(C(=O)C2=C(C1=O)C[C@H]3[C@H]4C5=C(C[C@H](N4C)[C@@H](N3[C@H]2CNC(=O)C(=O)C)C#N)C(=O)C(=C(C5=O)OC)C)OC	1	0	0	0	47
BGC0000854	Methylomicrobium	ectoine	1	142.07422756	61.69	-0.1487	3	2	Other	NA	CC1=NCC[C@H](N1)C(=O)O	0	0	0	0	6
BGC0000199	uncultured	arimetamycin B	3	544.158076336	189.28	0.7585	12	5	Polyketide	NA	CO[C@H]1[C@H](O[C@H]2C[C@H](O)[C@@H](O)[C@H](C)O2)C2=C(C=C3C(=O)C4=C(C(O)=CC(OC)=C4)C(=O)C3=C2O)C(=O)[C@@]1(C)O	3	0	0	0	37
BGC0000692	Streptoalloteichus	apramycin	1	539.280257132	283.64	-6.9493	16	11	Saccharide	NA	CN[C@H]1[C@H]([C@@H]2[C@H](C[C@H](C(O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)N)N)N)O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O	1	0	0	0	31
BGC0001115	Pseudoalteromonas	thiomarinol	1	640.248822988	178.41	3.4322	11	6	NRP	NA	CC(O)C(C)\C=C\CC1COC(C(O)C(\C)=C\C(=O)OCCCCCCCC(=O)NC2=C3SSC=C3NC2=O)C(O)C1O	0	0	0	0	37
BGC0001608	[Polyangium]	glidopeptin	1	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	8
BGC0001443	Actinomadura	matlystatin A	1	440.29987038	127.84	2.084	6	4	NRP	Inhibitor	[H][C@](C)(CC)[C@]([H])(NC(=O)[C@@H]1CCCNN1C(=O)[C@H](CCCCC)CC(=O)NO)C(=O)CC	1	0	0	0	18
BGC0001486	Pseudomonas	3-thiaglutamate	1	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	10
BGC0000892	Burkholderia	caryoynencin	1	280.109944372	57.53	1.7481	2	2	Other	Antibacterial	C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O	0	1	0	0	12
BGC0001149	Pseudomonas	brabantamide A	1	-1	NA	NA	NA	NA	NRP	Antibacterial	NA	0	1	0	0	5
BGC0000161	Aspergillus	isoterrein	1	154.06299418	57.53	-0.2066	3	2	Polyketide	NA	C\C=C\C1=CC(=O)[C@@H](O)[C@H]1O	2	0	0	0	11
BGC0001844	Paraburkholderia	holrhizin	1	816.4997	NA	NA	NA	NA	NRP	Surfactant	NA	0	0	0	0	3
BGC0000341	Streptomyces	enduracidin	1	1100.50395344	350.36	0.19662	24	11	NRP	NA	CO[C@H](C(O)[C@@H](O)[C@@H](C)O)[C@@H]1CC2=CC3=CC(OC4CC(OC5CC(O)C(OC)C(C)O5)C(O)C(C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1	1	0	0	0	48
BGC0001515	Aspergillus	aspercryptins	1	-1	NA	NA	NA	NA	NRP	NA	NA	2	0	0	0	15
BGC0000551	Streptomyces	SapB	1	2025.96119543	868.53	-11.86063	31	31	RiPP	Surfactant	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSCC(C(=O)NC(C(=O)NC(C(=O)NC(=C)C(=O)N1)CC(C)C)CO)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C2CSCC(C(=O)NC(C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(C)C)CC(C)C)CC(C)C)C)CCCNC(=N)N)NC(=O)CNC(=O)C(C(C)O)N)C(=O)NC(CC(=O)N)C(=O)O)C(C)O)C(C)O	1	0	0	0	4
BGC0001857	Aspergillus	burnettramic acid A	1	769.497626712	217.68	3.7315	12	8	Polyketide	Antibacterial	O[C@H]([C@@H](CO)O[C@@H](OCCCCCC(O)CCCC(O)C/C=C/CCCCCCCCCC(CC(/C(O)=C1C(N(C[C@H](O)C2)[C@]2([H])C/1=O)=O)C)C)[C@H]3O)[C@@H]3O	2	1	0	0	9
BGC0001287	Streptomyces	chaxamycin A	4	639.30434664	201.69	3.05452	10	7	Polyketide	NA	C[C@H]1\C=C\C=C/C(=O)NC2=C(C)C(=O)C3=C(C(O)=C(C)C(O)=C3C2=O)C(=O)\C(C)=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](O)[C@H](C)[C@H]1O	1	0	0	0	29
BGC0000407	Bacillus	plipastatin	1	1462.79593392	512.91	1.0835	19	16	NRP	NA	CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1CC2=CC=C(C=C2)OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)O)CCC(=O)O)C)CCC(=O)N)CC4=CC=C(C=C4)O)C(C)CC)O	1	0	0	0	13
BGC0000572	Burkholderia	capistruin	1	-1	NA	NA	NA	NA	RiPP	NA	NA	0	0	0	0	4
BGC0001483	Streptomyces	5-isoprenylindole-3-carboxylate β-D-glycosyl ester	1	387.131802012	129.08	1.88	6	4	Other	NA	CC(=CCC1=CC2=C(C=C1)C(=CN2)C(=O)O[C@H]3[C@@H]([C@H](C=C(O3)C(=O)O)O)O)C	1	0	0	0	21
BGC0000530	Streptococcus	mutacin B-Ny266	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	9
BGC0001966	Phoma	BII-rafflesfungin	1	-1	NA	NA	NA	NA	NRP	NA	NA	2	0	0	0	13
BGC0000937	Streptomyces	fosfazinomycin A	1	453.210082994	241.68	-3.9223	10	7	Other	Antifungal	CC(C)[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)NN(C)[P+](C(C(=O)OC)O)(O)[O-])N	1	0	1	0	19
BGC0000646	uncultured	β-carotein	1	536.438201792	0.0	12.6058	0	0	Terpene	Antioxidant	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C	3	0	0	0	6
BGC0000464	Xenorhabdus	xenoamicin A	2	1299.81660979	387.02	0.4801	15	11	NRP	antiparasitic	O=C(N[C@H](C(N[C@H](C(C)C)C(N[C@@H](C(C)C)C(N[C@H](C)C(NCCC1=O)=O)=O)=O)=O)C(C)C)[C@@H]([C@H](OC([C@@H](NC([C@@H]2N1CCC2)=O)C(C)C)=O)C)NC([C@H]([C@H](C)CC)NC([C@@H](CC(C)C)NC([C@H](C(C)C)NC([C@@H](C)NC([C@H]3N(C(CCC)=O)CCC3)=O)=O)=O)=O)=O	0	0	0	0	24
BGC0000198	Salinispora	arenimycin A	1	667.190104736	235.45	0.12512	15	6	Polyketide	Antibacterial,Cytotoxic	CC1=CC2=C(C(O)=C1C(OC)=O)[C@]3(C(C4=CC5=C(C(O)=C4C([C@]3(CC2)OC)=O)C(C=C(C5=O)N[C@@H]6[C@@H]([C@H]([C@H]([C@@H](O6)C)O)O)OC)=O)=O)O	1	1	0	0	41
BGC0000600	Bacillus	thurincin H	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	10
BGC0000514	Staphylococcus	gallidermin	1	2163.95149977	743.69	-6.0239	30	25	RiPP	NA	CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H]1CSC[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCCN)CC2=CC=CC=C2)CC(C)C)C(=O)N[C@@H]3[C@@H](SC[C@@H](NC(=O)CNC(=O)[C@@H]4CCCN4C3=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C/C)/C(=O)NCC(=O)N[C@@H]5CSC[C@@H]6C(=O)N/C=C/SC[C@H](C(=O)N[C@H](C(=O)N6)CC7=CC=C(C=C7)O)NC(=O)[C@@H](NC(=O)[C@@H](NC5=O)CC8=CC=CC=C8)CC(=O)N)C)N	1	0	0	0	11
BGC0000673	Aspergillus	pimara-8(14),15-diene	1	272.250401024	0.0	6.1415	0	0	Terpene	NA	CC1(C)CCC[C@]2(C)C3CC[C@@](C)(C=C)C=C3CC[C@@H]12	2	0	0	0	3
BGC0001953	Anabaena	puwainaphycin F	5	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	13
BGC0000413	Pseudomonas	pyoverdin	1	1174.475956	546.55	-6.1374	21	18	NRP	NA	NC(=O)CCC(NC(=O)C(CCCN(O)C=O)NC(=O)C1CCN=C(N1)C(CO)NC(=O)[C@@H]1CCNC2=C(NC(=O)CCC(O)=O)C=C3C=C(O)C(O)=CC3=[N+]12)C(=O)NC(CCC(N)=O)C(=O)NC(CCCN(O)C=O)C(=O)NCC(O)=O	0	0	0	0	109
BGC0000312	Beauveria	bassianolide	1	908.608574128	186.44	5.7636	12	0	NRP	NA	CC(C)CC1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C	2	0	0	0	15
BGC0001572	Pantoea	desferrioxamine E	1	600.348277116	208.92	0.8535	9	6	Other	NA	C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O	0	0	0	0	4
BGC0000942	Bacillus	petrobactin	1	718.35375642	278.91	0.0169	12	12	Other	Siderophore	OC(=O)C(O)(CC(=O)NCCCCNCCCNC(=O)C1=CC=C(O)C(O)=C1)CC(=O)NCCCCNCCCNC(=O)C1=CC=C(O)C(O)=C1	1	0	0	1	6
