TCDB	Type	Description
2.A.1.31	porter	The Nickel Resistance (Nre) Family
2.A.1.32	porter	The Putative Aromatic Compound/Drug Exporter (ACDE) Family
2.A.1.33	porter	The Putative YqgE Transporter (YqgE) Family
2.A.1.34	porter	The Sensor Kinase-MFS Fusion (SK-MFS) Family
2.A.1.35	porter	The Fosmidomycin Resistance (Fsr) Family
2.A.1.36	porter	The Acriflavin-sensitivity (YnfM) Family
2.A.1.37	porter	The Unknown Major Facilitator-4 (UMF4) Family
2.A.1.38	porter	The Enterobactin (Siderophore) Exporter (EntS) Family
2.A.1.39	porter	The Vibrioferrin (Siderophore) Exporter (PrsC) Family
2.A.1.4	porter	The Organophosphate:Pi Antiporter (OPA) Family
2.A.1.41	porter	The Putative Bacteriochlorophyll Delivery (BCD) Family
2.A.1.42	porter	The Lysophospholipid Transporter (LplT) Family
2.A.1.43	porter	The Putative Magnetosome Permease (PMP) Family
2.A.1.44	porter	The L-Amino Acid Transporter-3 (LAT3) Family
2.A.1.45	porter	The 2,4-diacetylphloroglucinol (PHL) Exporter (PHL-E) Family
2.A.1.46	porter	The Uncharacterized Major Facilitator-5 (UMF5) Family
2.A.1.47	porter	The Unknown Major Facilitator-6 (UMF6) Family
2.A.1.48	porter	The Vacuolar Basic Amino Acid Transporter (V-BAAT) Family
2.A.1.49	porter	The Endosomal Spinster (Spinster) Family
2.A.1.5	porter	The Oligosaccharide:H+ Symporter (OHS) Family
2.A.1.50	porter	The Proton Coupled Folate Transporter/Heme Carrier Protein (PCFT/HCP) Family
2.A.1.51	porter	The Unknown Major Facilitator 7 (UMF7) Family
2.A.1.52	porter	The Glycerophosphodiester Uptake (GlpU) Family
2.A.1.53	porter	The Proteobacterial Intraphagosomal Amino Acid Transporter (Pht) Family
2.A.1.54	porter	The Unknown (Archaeal/Bacterial) Major Facilitator-9 (UMF9) Family.
2.A.1.56	porter	The 1,3-Dihydroxybenzene/Drug Transporter (DHB-T) Family
2.A.1.57	porter	The Ferripyochelin Transporter (FptX) Family
2.A.1.58	porter	The N-Acetylglucosamine Transporter (NAG-T) Family
2.A.1.6	porter	The Metabolite:H+ Symporter (MHS) Family
2.A.1.60	porter	The Rhizopine-related MocC (MocC) Family
2.A.1.61	porter	The Microcin C51 Immunity Protein (MccC) Family
2.A.1.62	porter	The Unidentified Major Facilitator-11 (UMF11) Family
2.A.1.63	porter	The Unidentified Major Facilitator-12 (UMF12) Family
2.A.1.64	porter	The Unidentified Major Facilitator-13 (UMF13) Family
2.A.1.65	porter	The Unidentified Major Facilitator-14 (UMF14) Family
2.A.1.66	porter	The Unidentified Major Facilitator-15 (UMF15) Family
2.A.1.67	porter	The Unidentified Major Facilitator-16 (UMF16) Family
2.A.1.68	porter	The Glucose Transporter (GT) Family
2.A.1.7	porter	The Fucose: H+ Symporter (FHS) Family
2.A.1.70	porter	The Arsenite/Antimonite Exporter (ArsK) Family
2.A.1.71	porter	The Valanimycin-resistance (Val-R) Family
2.A.1.72	porter	The Uncharacterized Major Facilitator-20 (UMF20) Family
2.A.1.73	porter	The Unidentified Major Facilitator-21 (UMF21) Family
2.A.1.74	porter	The Uncharacterized Major Facilitator-22 (UMF22) Family
2.A.1.75	porter	The Unidentified Major Faciilitator-23 (UMF23) Family
2.A.1.76	porter	The Uncharacterized Major Facilitator 24 Family
2.A.1.78	porter	The Uncharacterized Major Facilitator-26 (UMF26) Family
2.A.1.79	porter	The Uncharacterized Major Facilitator-27 (UMF27) Family
2.A.1.80	porter	The Uncharacterized Major Facilitator-28 (UMF28) Family
2.A.1.83	porter	The 1-arseno-3-phosphoglycerate exporter (APGE) Family
2.A.1.84	porter	The 1-arseno-3-phosphoglycerate exporter (APGE) Family
2.A.1.85	porter	The Uncharacterized Major Facilitator-29 (UMF29) Family
2.A.1.86	porter	The Uncharacterized Major Facilitator-30 (UMF30) Family
2.A.1.87	porter	The Uncharacterized Major Facilitator-31 (UMF31) Family
2.A.1.88	porter	The Uncharacterized Major Facilitator-32 (UMF32) Family
2.A.1.89	porter	The Uncharacterized Major Facilitator-33 (UMF33) Family
2.A.1.9	porter	The Phosphate: H+ Symporter (PHS) Family
2.A.2	porter	The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family
2.A.12	porter	The ATP:ADP Antiporter (AAA) Family
2.A.17	porter	The Proton-dependent Oligopeptide Transporter (POT/PTR) Family
2.A.48	porter	The Reduced Folate Carrier (RFC) Family
2.A.57	porter	The Equilibrative Nucleoside Transporter (ENT) Family
2.A.60	porter	The Organo Anion Transporter (OAT) Family
2.A.71	porter	The Folate-Biopterin Transporter (FBT) Family
2.A.85	porter	The Aromatic Acid Exporter (ArAE) Family
2.A.100	porter	The Ferroportin (Fpn) Family
2.A.125	porter	The Eukaryotic Riboflavin Transporter (E-RFT) Family
4.D.2	other	The Glycosyl Transferase 2 (GT2) Family
4.H.1	other	The Lysyl phosphatidylglycerol Synthase/Flippase (MprF) Family
9.B.111	other	The 6 TMS Lysyl tRNA Synthetase (LysS) Family
9.B.143	other	The 6 TMS DUF1275/Pf06912 (DUF1275) Family
2.A.3.1	porter	The Amino Acid Transporter (AAT) Family
2.A.3.10	porter	The Yeast Amino Acid Transporter (YAT) Family
2.A.3.11	porter	The Aspartate/Glutamate Transporter (AGT) Family
2.A.3.12	porter	The Polyamine:H+ Symporter (PHS) Family
2.A.3.13	porter	The Amino Acid Efflux (AAE) Family
2.A.3.14	porter	The Unknown APC-1 (U-APC1) Family
2.A.3.15	porter	The Unknown APC-2 (U-APC2) Family
2.A.3.2	porter	The Basic Amino Acid/Polyamine Antiporter (APA) Family
2.A.3.3	porter	The Cationic Amino Acid Transporter (CAT) Family
2.A.3.4	porter	The Amino Acid/Choline Transporter (ACT) Family
2.A.3.5	porter	The Ethanolamine Transporter (EAT) Family
2.A.3.6	porter	The Archaeal/Bacterial Transporter (ABT) Family
2.A.3.7	porter	The Glutamate:GABA Antiporter (GGA) Family
2.A.3.8	porter	The L-type Amino Acid Transporter (LAT) Family (Many LAT family members function as heterooligomers with rBAT and/or 4F2hc (TC #8.A.9))
2.A.3.9	porter	The Spore Germination Protein (SGP) Family
2.A.15	porter	The Betaine/Carnitine/Choline Transporter (BCCT) Family
2.A.18	porter	The Amino Acid/Auxin Permease (AAAP) Family
2.A.21	porter	The Solute:Sodium Symporter (SSS) Family
2.A.22	porter	The Neurotransmitter:Sodium Symporter (NSS) Family
2.A.25	porter	The Alanine or Glycine:Cation Symporter (AGCS) Family
2.A.26	porter	The Branched Chain Amino Acid:Cation Symporter (LIVCS) Family
2.A.30	porter	The Cation-Chloride Cotransporter (CCC) Family
2.A.31	porter	The Anion Exchanger (AE) Family
2.A.39	porter	The Nucleobase:Cation Symporter-1 (NCS1) Family
2.A.40	porter	The Nucleobase/Ascorbate Transporter (NAT) or Nucleobase:Cation Symporter-2 (NCS2) Family
2.A.42	porter	The Hydroxy/Aromatic Amino Acid Permease (HAAAP) Family
2.A.46	porter	The Benzoate:H+ Symporter (BenE) Family
2.A.53	porter	The Sulfate Permease (SulP) Family
2.A.55	porter	The Metal Ion (Mn2+-iron) Transporter (Nramp) Family
2.A.72	porter	The K+ Uptake Permease (KUP) Family
2.A.114	porter	The Putative Peptide Transporter Carbon Starvation CstA (CstA) Family
2.A.120	porter	The Putative Amino Acid Permease (PAAP) Family
1.B.1	porin	The General Bacterial Porin (GBP) Family
1.B.2	porin	The Chlamydial Porin (CP) Family
1.B.3	porin	The Sugar Porin (SP) Family
1.B.4	porin	The Brucella-Rhizobium Porin (BRP) Family
1.B.5	porin	The Pseudomonas OprP Porin (POP) Family
1.B.6	porin	The OmpA-OmpF Porin (OOP) Family
1.B.7	porin	The Rhodobacter PorCa Porin (RPP) Family
1.B.8	porin	The Mitochondrial and Plastid Porin (MPP) Family
1.B.9	porin	The FadL Outer Membrane Protein (FadL) Family
1.B.10	porin	The Nucleoside-specific Channel-forming Outer Membrane Porin (Tsx) Family
1.B.11	porin	The Outer Membrane Fimbrial Usher Porin (FUP) Family
1.B.12	porin	The Autotransporter-1 (AT-1) Family
1.B.13	porin	The Alginate Export Porin (AEP) Family
1.B.14	porin	The Outer Membrane Receptor (OMR) Family
1.B.15	porin	The Raffinose Porin (RafY) Family
1.B.16	porin	The Short Chain Amide and Urea Porin (SAP) Family
1.B.17	porin	The Outer Membrane Factor (OMF) Family
1.B.18	porin	The Outer Membrane Auxiliary (OMA) Protein Family
1.B.19	porin	The Glucose-selective OprB Porin (OprB) Family
1.B.20	porin	The Two-Partner Secretion (TPS) Family
1.B.21	porin	The OmpG Porin (OmpG) Family
1.B.22	porin	The Outer Bacterial Membrane Secretin (Secretin) Family
1.B.23	porin	The Cyanobacterial Porin (CBP) Family
1.B.25	porin	The Outer Membrane Porin (Opr) Family
1.B.26	porin	The Cyclodextrin Porin (CDP) Family
1.B.31	porin	The Campylobacter jejuni Major Outer Membrane Porin (MomP) Family
1.B.32	porin	The Fusobacterial Outer Membrane Porin (FomP) Family
1.B.33	porin	The Outer Membrane Protein Insertion Porin (Bam Complex) (OmpIP) Family
1.B.35	porin	The Oligogalacturonate-specific Porin (KdgM) Family
1.B.39	porin	The Bacterial Porin, OmpW (OmpW) Family
1.B.42	porin	The Outer Membrane Lipopolysaccharide Export Porin (LPS-EP) Family
1.B.43	porin	The Coxiella Porin P1 (CPP1) Family
1.B.44	porin	The Probable Protein Translocating Porphyromonas gingivalis Porin (PorT) Family
1.B.49	porin	The Anaplasma P44 (A-P44) Porin Family
1.B.54	porin	The Intimin/Invasin (Int/Inv) or Autotransporter-3 (AT-3) Family
1.B.55	porin	The Poly Acetyl Glucosamine Porin (PgaA) Family
1.B.57	porin	The Legionella Major-Outer Membrane Protein (LM-OMP) Family
1.B.60	porin	The Omp50 Porin (Omp50 Porin) Family
1.B.61	porin	The Delta-Proteobacterial Porin (Delta-Porin) Family
1.B.62	porin	The Putative Bacterial Porin (PBP) Family
1.B.66	porin	The Putative Beta-Barrel Porin-2 (BBP2) Family
1.B.67	porin	The Putative Beta Barrel Porin-4 (BBP4) Family
1.B.68	porin	The Putative Beta Barrel Porin-5 (BBP5) Superfamily
1.B.70	porin	The Outer Membrane Channel (OMC) Family
1.B.71	porin	The Proteobacterial/Verrucomicrobial Porin (PVP) Family
1.B.72	porin	The Protochlamydial Outer Membrane Porin (PomS/T) Family
1.B.73	porin	The Capsule Biogenesis/Assembly (CBA) Family
1.B.78	porin	The DUF3374 Electron Transport-associated Porin (ETPorin) Family
1.B.80	porin	The Putative Trans-Outer Membrane Electron Flow Porin (TOM-EF) Family
1.B.81	porin	The DUF2490 Putative Beta Barrel Porin (DUF2490) Family
1.B.92	porin	The Proteobacterial Outer Membrane Porin, NilB (NilB) Family
9.B.50	other	The Outer Membrane Beta-barrel Endoprotease, Omptin (Omptin) Family
9.B.153	other	The Putative Beta-Barrel Porin/Alpha Amylase or Phenol_MetA-deg (BBP/AA) Family
9.B.170	other	The DUF3187 Putative Porin (DUF3187) Family
9.B.186	other	The Putative Lipoprotein Supressor of a ts bamD mutant, YiaD (YiaD) Family
2.A.6.1	porter	The Heavy Metal Efflux (HME) Family
2.A.6.2	porter	The (Largely Gram-negative Bacterial) Hydrophobe/Amphiphile Efflux-1 (HAE1) Family
2.A.6.3	porter	The Putative Nodulation Factor Exporter (NFE) Family
2.A.6.4	porter	The SecDF (SecDF) Family
2.A.6.5	porter	The (Gram-positive Bacterial Putative) Hydrophobe/Amphiphile Efflux-2 (HAE2) Family
2.A.6.6	porter	The Eukaryotic (Putative) Sterol Transporter (EST) Family
2.A.6.7	porter	The (Largely Archaeal Putative) Hydrophobe/Amphiphile Efflux-3 (HAE3) Family
2.A.6.8	porter	The Brominated, Aryl Polyene Pigment Exporter (APPE) Family
2.A.6.9	porter	The Dispatched (Dispatched) Family
2.A.8	porter	The Gluconate:H+ Symporter (GntP) Family
2.A.11	porter	The Citrate-Mg2+:H+ (CitM) Citrate-Ca2+:H+ (CitH) Symporter (CitMHS) Family
2.A.13	porter	The C4-Dicarboxylate Uptake (Dcu) Family
2.A.14	porter	The Lactate Permease (LctP) Family
2.A.34	porter	The NhaB Na+:H+ Antiporter (NhaB) Family
2.A.35	porter	The NhaC Na+:H+ Antiporter (NhaC) Family
2.A.45	porter	The Arsenite-Antimonite (ArsB) Efflux Family
2.A.47	porter	The Divalent Anion:Na+ Symporter (DASS) Family
2.A.56	porter	The Tripartite ATP-independent Periplasmic Transporter (TRAP-T) Family
2.A.61	porter	The C4-dicarboxylate Uptake C (DcuC) Family
2.A.62	porter	The NhaD Na+:H+ Antiporter (NhaD) Family
2.A.68	porter	The p-Aminobenzoyl-glutamate Transporter (AbgT) Family
2.A.94	porter	The Phosphate Permease (Pho1) Family
2.A.101	porter	The Malonate Uptake (MatC) Family (Formerly UIT1)
2.A.111	porter	The Na+/H+ Antiporter-E (NhaE) Family
2.A.118	porter	The Basic Amino Acid Antiporter (ArcD) Family
