BGC	Genus	Name	Type	Functions	Structure	Gram	Antibacterial	Antifungal	Siderophore
BGC0001223	uncultured	hydroxysporine	Other	unk	unk	3	0	0	0
BGC0001714	Amycolatopsis	octacosamicin	NRP	unk	C(CC/C=C/C=C/C(=O)CCC/C=C/C=C/CCCCC(CC(CC(C(C(=O)NCC(=O)O)O)O)O)O)CCN(C(=N)N)O	1	0	0	0
BGC0000623	Lactobacillus	plantaricin W alpha	Other	unk	unk	1	0	0	0
BGC0001088	Xanthomonas	albicidin	NRP	unk	unk	0	0	0	0
BGC0001746	Streptomyces	pristinol	Terpene	unk	C[C@@H]1CC/C/2=C(/C[C@@H](CC(C[C@@H]12)(C)C)O)\C	1	0	0	0
BGC0001188	Streptomyces	legonaridin	Other	unk	unk	1	0	0	0
BGC0000144	Streptomyces	salinomycin	Polyketide	Other	unk	1	0	0	0
BGC0000151	Streptomyces	stambomycin A	Polyketide	Antibacterial,Other	O=C(OC(/C=C/C(O)CC(CCCC(C(C1O)C)O)O)C)CC2(O)OC(C[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]3O)C2C)C(C)C(O)/C(C)=C/C=C/CC(O)C(C)C(O)CCCC(O)CC(O)/C(C)=C/C(C(O)C(O)CCC(C)CC(O)CC(O)C(C)CC1)CCCC(CC)C	1	1	0	0
BGC0000220	Streptomyces	Enterocin	Polyketide	Antibacterial	O[C@]12C[C@@H](O3)[C@@H](O)[C@]([C@@](C(C4=CC=CC=C4)=O)([H])C2(O)C3=O)(O)[C@@H]1C5=CC(OC)=CC(O5)=O	1	1	0	0
BGC0000543	Staphylococcus	pep5	lantipeptide	unk	unk	1	0	0	0
BGC0001419	Hyalangium	Myxochromide D	NRP	Unknown	C1(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)O[C@H](C)[C@H](N(C)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CC)C(=O)N[C@@H]1C	0	0	0	0
BGC0001446	Aspergillus	asparasone A	Polyketide	Other	unk	2	0	0	0
BGC0001822	Cystobacter	vioprolide	NRP	unk	C\C=C1/NC(=O)C2CSC(=N2)C2CC(C)N2C(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(O)COC(=O)C(C(C)C)N(C)C(=O)C(NC(=O)C2CCCCN2C1=O)C(C)O	0	0	0	0
BGC0001247	Cercospora	cercosporin	Polyketide	unk	unk	2	0	0	0
BGC0001687	uncultured	N-tetradecanoyl tyrosine	Other	unk	CCCCCCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(O)O	3	0	0	0
BGC0000195	Streptomyces	alnumycin A	Polyketide	Unknown	OC1=C2C(C=C(C)O[C@@H]2CCC)=CC3=C1C(C([C@]4([H])O[C@@H](CO)[C@H](O)CO4)=CC3=O)=O	1	0	0	0
BGC0000292	Aspergillus	acetylaranotin	NRP	unk	unk	2	0	0	0
BGC0001759	Amycolatopsis	rifamorpholines	Polyketide	unk	unk	1	0	0	0
BGC0001765	Agrobacterium	salecan	Saccharide	unk	unk	0	0	0	0
BGC0001784	Streptomyces	streptoseomycin	Polyketide	unk	unk	1	0	0	0
BGC0001692	Xenorhabdus	nematophin	NRP	unk	CCC(C)C(=O)C(=O)NCCC1=CNC2=CC=CC=C12	0	0	0	0
BGC0001341	Rothia	valinomycin	NRP	unk	unk	1	0	0	0
BGC0001252	Alternaria	ACR-toxin	Polyketide	unk	unk	2	0	0	0
BGC0001670	Streptomyces	monensin	Polyketide	unk	CCC1(CCC(O1)C1(C)CCC2(CC(O)C(C)C(O2)C(C)C(OC)C(C)C(O)=O)O1)C1OC(CC1C)C1OC(O)(CO)C(C)CC1C	1	0	0	0
BGC0001212	Nannocystis	nannocystin a	NRP	Antifungal,Cytotoxic	C[C@@H](CC)[C@@H]1N(C([C@@]2(C)[C@H](C[C@H](/C(C)=C/C=C/[C@H]([C@@H](C3=CC=CC=C3)OC([C@H](C(O)(C)C)NC([C@H](NC1=O)CC4=CC(Cl)=C(O)C(Cl)=C4)=O)=O)C)OC)O2)=O)C	0	0	1	0
BGC0000657	Pseudanabaena	2-methylisoborneol	Terpene	Other	unk	0	0	0	0
BGC0001606	Fusarium	gibepyrone A	Polyketide	unk	C\C=C(/C)C1=CC=C(C)C(=O)O1	2	0	0	0
BGC0000309	Bacillus	bacillibactin	NRP	unk	unk	1	0	0	0
BGC0000067	Streptomyces	geldanamycin	Polyketide	unk	unk	1	0	0	0
BGC0001150	Streptomyces	pamamycin	Polyketide	Antibacterial,Antifungal,Antioxidant,Cytotoxic,Inhibitor,Siderophore,Signalling,Surfactant,Other	unk	1	1	1	1
BGC0001452	Streptomyces	Sipanmycin	Polyketide	Cytotoxic	unk	1	0	0	0
BGC0001724	Penicillium	oxaleimide C	NRP	unk	unk	2	0	0	0
BGC0001006	Salinispora	lymphostin	NRP	Inhibitor	NC1=C(N=C2)C(C2=CC(C(/C=C/OC)=O)=N3)=C3C(NC(C)=O)=C1	1	0	0	0
BGC0000541	Paenibacillus	paenicidin A	lantipeptide	unk	unk	1	0	0	0
BGC0001315	Cucumis	cucurbitacin	Terpene	unk	unk	3	0	0	0
BGC0001545	Fusarium	chrysogine	NRP	unk	C[C@H](O)C1=NC2=C(C=CC=C2)C(=O)N1	2	0	0	0
BGC0001148	Streptomyces	pheganomycin	NRP	unk	unk	1	0	0	0
BGC0000288	Streptomyces	A-503083 A	NRP	unk	O=C1[C@@H](NC(C2=C[C@H](O)[C@H](O)[C@@H](O[C@@H](C(N)=O)[C@]3([H])[C@@H](OC)[C@@H](OC(N)=O)[C@H](N(C=C4)C(NC4=O)=O)O3)O2)=O)CCC[C@@H](C)N1	1	0	0	0
BGC0000949	Streptomyces	A-500359 A	NRP	unk	O[C@@H]1[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(N[C@@H]3C(N[C@H](C)CCC3)=O)=O)=C[C@H](O)[C@@H]2O)O[C@H]1N(C=C4)C(NC4=O)=O	1	0	0	0
BGC0000086	Streptomyces	lasalocid	Polyketide	unk	unk	1	0	0	0
BGC0000092	Micromonospora	megalomicin A	Polyketide	unk	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O[C@H]4C[C@H]([C@H]([C@@H](O4)C)O)N(C)C)C)C)O)(C)O	1	0	0	0
BGC0000298	Microcystis	Aeruginosin 98-A	NRP	Inhibitor	unk	0	0	0	0
BGC0000359	Thermobifida	fuscachelin	NRP	unk	unk	1	0	0	0
BGC0000955	Myxococcus	Althiomycin	NRP	Antibacterial	unk	0	1	0	0
BGC0000799	Escherichia	colanic acid	Saccharide	unk	unk	0	0	0	0
BGC0000422	Streptomyces	saframycin A	NRP	unk	unk	1	0	0	0
BGC0000854	Methylomicrobium	ectoine	Other	unk	unk	0	0	0	0
BGC0000199	uncultured	Arimetamycin B	Polyketide	Unknown	O=C1C2=C(C(C(C=C3C4=O)=C1C(O)=C3[C@@H](O[C@H]5C[C@H](O)[C@@H](O)[C@H](C)O5)[C@H](OC)[C@@]4(O)C)=O)C=C(OC)C=C2O	3	0	0	0
BGC0000692	Streptoalloteichus	apramycin	Saccharide	unk	unk	1	0	0	0
BGC0001115	Pseudoalteromonas	thiomarinol	NRP	unk	unk	0	0	0	0
BGC0001608	[Polyangium]	glidopeptin	NRP	unk	unk	0	0	0	0
BGC0001443	Actinomadura	Matlystatin A	NRP	Inhibitor	unk	1	0	0	0
BGC0001486	Pseudomonas	3-thiaglutamate	Other	unk	unk	0	0	0	0
BGC0000365	Mycobacterium	glycopeptidolipid	NRP	unk	unk	1	0	0	0
BGC0000892	Burkholderia	Caryoynencin	Other	Antibacterial	unk	0	1	0	0
BGC0001149	Pseudomonas	brabantamide A	NRP	Antibacterial	unk	0	1	0	0
BGC0000161	Aspergillus	terrein	Polyketide	Other	unk	2	0	0	0
BGC0000341	Streptomyces	enduracidin	NRP	unk	unk	1	0	0	0
BGC0001515	Aspergillus	aspercryptins	NRP	unk	unk	2	0	0	0
BGC0000551	Streptomyces	SapB	Lantipeptide	Surfactant	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSCC(C(=O)NC(C(=O)NC(C(=O)NC(=C)C(=O)N1)CC(C)C)CO)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C2CSCC(C(=O)NC(C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(C)C)CC(C)C)CC(C)C)C)CCCNC(=N)N)NC(=O)CNC(=O)C(C(C)O)N)C(=O)NC(CC(=O)N)C(=O)O)C(C)O)C(C)O	1	0	0	0
BGC0001287	Streptomyces	chaxamycin A	Polyketide	unk	unk	1	0	0	0
BGC0000407	Bacillus	plipastatin	NRP	unk	unk	1	0	0	0
BGC0000572	Burkholderia	capistruin	Lasso Peptide	unk	unk	0	0	0	0
BGC0001483	Streptomyces	terfestatin	Other	unk	unk	1	0	0	0
BGC0000530	Streptococcus	mutacin B-Ny266	lantipeptide	unk	unk	1	0	0	0
BGC0000937	Streptomyces	fosfazinomycin	Other	unk	unk	1	0	0	0
BGC0000646	uncultured	beta-carotein	Terpene	Antioxidant	unk	3	0	0	0
BGC0000464	Xenorhabdus	Xenoamicin A	NRP	Other	O=C(N[C@H](C(N[C@H](C(C)C)C(N[C@@H](C(C)C)C(N[C@H](C)C(NCCC1=O)=O)=O)=O)=O)C(C)C)[C@@H]([C@H](OC([C@@H](NC([C@@H]2N1CCC2)=O)C(C)C)=O)C)NC([C@H]([C@H](C)CC)NC([C@@H](CC(C)C)NC([C@H](C(C)C)NC([C@@H](C)NC([C@H]3N(C(CCC)=O)CCC3)=O)=O)=O)=O)=O	0	0	0	0
BGC0000198	Salinispora	Arenimycin A	Polyketide	Antibacterial,Cytotoxic	CC1=CC2=C(C(O)=C1C(OC)=O)[C@]3(C(C4=CC5=C(C(O)=C4C([C@]3(CC2)OC)=O)C(C=C(C5=O)N[C@@H]6[C@@H]([C@H]([C@H]([C@@H](O6)C)O)O)OC)=O)=O)O	1	1	0	0
BGC0000600	Bacillus	thurincin H	Other	unk	unk	1	0	0	0
BGC0000514	Staphylococcus	gallidermin	lantipeptide	unk	unk	1	0	0	0
BGC0000673	Aspergillus	ent-pimara-8(14),15-diene	Terpene	unk	C[C@@]1(CC[C@@H]2C(=C1)CC[C@H]3[C@]2(CCCC3(C)C)C)C=C	2	0	0	0
BGC0000413	Pseudomonas	pyoverdine	NRP	unk	unk	0	0	0	0
BGC0000312	Beauveria	bassianolide	NRP	unk	unk	2	0	0	0
BGC0001572	Pantoea	desferrioxamine E	Other	unk	C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O	0	0	0	0
BGC0000942	Bacillus	petrobactin	Other	Siderophore	C1=CC(=C(C=C1/C(=N/CCCNCCCC/N=C(\\O)/CC(O)(C(=O)O)C/C(=N/CCCCNCCC/N=C(\\O)/C2=CC(=C(C=C2)O)O)/O)/O)O)O	1	0	0	1
BGC0000835	Streptomyces	simocyclinone	Polyketide	unk	unk	1	0	0	0
BGC0001641	Photorhabdus	kolossin	NRP	unk	unk	0	0	0	0
BGC0000922	Pseudomonas	Pseudomonas quinolone signal (PQS)	Other	unk	unk	0	0	0	0
BGC0001549	Streptomyces	citrulassin B	RiPP	unk	unk	1	0	0	0
BGC0000436	Rhizobium	syringolin A	NRP	unk	unk	0	0	0	0
BGC0000474	Microcystis	microcyclamide	Cyanobactin	Unknown	unk	0	0	0	0
BGC0000829	Chromobacterium	violacein	Alkaloid	Antibacterial,Cytotoxic,Signalling,Other	unk	0	1	0	0
BGC0001137	Marinactinospora	marinacarboline a	Alkaloid	Other	O=C(C1=CC(C2=CC=CC=C2N3)=C3C(C(C)=O)=N1)NCCC4=CC=C(OC)C=C4	1	0	0	0
BGC0001597	Actinomadura	fluvirucin b2	Polyketide	unk	CCC1CCCC(CC)C(=O)NCCCC(CC)C(CC1)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](N)[C@H]1O	1	0	0	0
BGC0000817	uncultured	methylarcyriarubin	Alkaloid	Cytotoxic	O=C(N1C)C(C2=CNC3=CC=CC=C32)=C(C4=CNC5=CC=CC=C54)C1=O	3	0	0	0
BGC0000438	Pseudomonas	syringopeptin	NRP	unk	unk	0	0	0	0
BGC0000183	Paenibacillus	paenimacrolidin	Polyketide	unk	unk	1	0	0	0
BGC0000744	Streptococcus	capsular polysaccharide	Saccharide	unk	unk	1	0	0	0
BGC0001577	Prochloron	divamide B	Other	unk	unk	0	0	0	0
BGC0000491	Lactobacillus	gassericin A	Head-To-Tail Cyclized Peptide	unk	unk	1	0	0	0
BGC0001650	Lysobacter	Le-pyrrolopyrazines	NRP	unk	unk	0	0	0	0
BGC0000985	Tistrella	Didemnin B	NRP	Cytotoxic	unk	0	0	0	0
BGC0001255	Fusarium	equisetin	NRP	unk	unk	2	0	0	0
BGC0000105	Streptomyces	nanchangmycin	Polyketide	unk	unk	1	0	0	0
BGC0001289	Paenibacillus	penisin	Other	unk	unk	1	0	0	0
BGC0001631	Microcystis	kasumigamide	NRP	unk	NC(=N)NCCC[C@@H](NC(=O)C[C@H](O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)CCNC(=O)[C@H](O)CC1=CC=CC=C1)C(=O)N[C@H]([C@H](O)C1=CC=CC=C1)C(O)=O	0	0	0	0
BGC0001633	Streptomyces	ketomemicin B3	Other	unk	N=C(N)NCCC[C@H](NC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)C[C@@H](Cc2ccccc2)C(=O)O	1	0	0	0
BGC0000460	Vibrio	vulnibactin	NRP	unk	unk	0	0	0	0
BGC0000803	Lactobacillus	GG exopolysaccharide	Saccharide	unk	unk	1	0	0	0
BGC0000093	Streptomyces	meilingmycin	Polyketide	unk	unk	1	0	0	0
BGC0000388	Streptomyces	mannopeptimycin	NRP	unk	unk	1	0	0	0
BGC0000138	Streptomyces	rimocidin	Polyketide	unk	unk	1	0	0	0
BGC0000938	Streptomyces	Fosfomycin	Other	Antibacterial,Inhibitor	unk	1	1	0	0
BGC0000167	Streptomyces	vicenistatin	Polyketide	unk	unk	1	0	0	0
BGC0001031	Serratia	oocydin A	NRP	unk	unk	0	0	0	0
BGC0000882	Streptomyces	mildiomycin	Other	unk	unk	1	0	0	0
BGC0001603	Micromonospora	gentamicin	Saccharide	unk	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)O)N)N)N)O	1	0	0	0
BGC0000609	Nocardia	nocathiacin	Thiopeptide	unk	unk	1	0	0	0
BGC0000393	Myxococcus	Myxoprincomide-c506	NRP	Unknown	CNC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(O)(C)C)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)C(=O)NC(CO)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CCCN)CC(=O)NC(C)C(=O)O	0	0	0	0
BGC0000856	Methylophaga	ectoine	Other	unk	unk	0	0	0	0
BGC0001284	Parastagonospora	alternariol	Terpene	unk	unk	2	0	0	0
BGC0001250	Epichloe	epichloenin A	NRP	unk	unk	2	0	0	0
BGC0000593	Microcystis	microviridin J	Microviridin	Inhibitor	CCC(C)C(NC(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H]1[C@@H](C)OC(=O)CC2NC(=O)[C@@H]3COC(=O)CC[C@@H](NC(=O)[C@H](CC4=CNC5=C4C=CC=C5)NC2=O)C(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)C(CCCNC(N)=N)NC1=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(=O)N3)C(=O)N[C@@H](CC1=CC2=C(N1)C=CC=C2)C(O)=O	0	0	0	0
BGC0001228	Salinispora	Retimycin A	NRP	Cytotoxic	O=C(NC1C(NC(C)C(N(C)C2C(N(C)C3(C(C)C3)C(OC(C)C(NC(C4=NC5=CC=CC=C5C=C4O)=O)C(NC(C)C(N(C)C(C(S(C)=O)SC2)C(N(C)C6(C(C)C6)C(OC1C)=O)=O)=O)=O)=O)=O)=O)=O)C7=NC8=CC=CC=C8C=C7O	1	0	0	0
BGC0000134	Metacordyceps	radicicol	Polyketide	unk	unk	2	0	0	0
BGC0000168	Penicillium	viridicatumtoxin	Polyketide	Antibacterial	unk	2	1	0	0
BGC0000177	Streptomyces	iso-migrastatin	Polyketide	Cytotoxic,Inhibitor	unk	1	0	0	0
BGC0000769	Mycobacterium	glycopeptidolipid	Saccharide	unk	unk	1	0	0	0
BGC0000538	Lactococcus	nisin Z	lantipeptide	unk	unk	1	0	0	0
BGC0001133	Xenorhabdus	Taxlllaid	NRP	Other	O=C(N[C@@H]([C@@H](C)OC([C@H](C)NC([C@@H](NC([C@@H](CC(C)C)NC(C(NC([C@H](CC(C)C)NC(C(N1)C)=O)=O)CC(C)C)=O)=O)CC(C)C)=O)=O)C1=O)CCCC(C)C	0	0	0	0
BGC0000163	Streptomyces	tetronasin	Polyketide	unk	unk	1	0	0	0
BGC0001172	Streptomyces	Chlorizidine A	NRP	Cytotoxic	ClC1=C(Cl)C=C2N1C(C3=C2C=C(O)C([C@]4([H])CCC5=CC(Cl)=C(Cl)N54)=C3O)=O	1	0	0	0
BGC0001616	Aspergillus	himeic acid A	NRP	unk	C[C@@H](CC(=O)NC(=O)C1=COC(\C=C\CCCCCCCCC(O)=O)=CC1=O)C(O)=O	2	0	0	0
BGC0000201	Streptomyces	auricin	Polyketide	Antibacterial	unk	1	1	0	0
BGC0001187	Glarea	xenolozoyenone	NRP	Unknown	CCCCCC/C=C/C=C/C=C/C(O)=C1C(N(O)CC/1=O)=O	2	0	0	0
BGC0001625	Streptomyces	isofuranonaphthoquinone	Polyketide	unk	unk	1	0	0	0
BGC0000704	Streptomyces	kanamycin	Saccharide	unk	unk	1	0	0	0
BGC0001408	Xanthomonas	xanthoferrin	Other	unk	unk	0	0	0	0
BGC0000790	Escherichia	O-antigen	Saccharide	unk	unk	0	0	0	0
BGC0000261	Streptomyces	R1128	Polyketide	unk	unk	1	0	0	0
BGC0000913	Enterobacter	menaquinone	Other	unk	unk	0	0	0	0
BGC0000296	Streptomyces	actinomycin	NRP	unk	unk	1	0	0	0
BGC0001547	Aspergillus	citreohybridonol	Terpene	unk	unk	2	0	0	0
BGC0000542	Paenibacillus	paenicidin B	lantipeptide	unk	unk	1	0	0	0
BGC0000715	Streptomyces	spectinomycin	Saccharide	unk	unk	1	0	0	0
BGC0000933	Streptomyces	xiamenmycin	Other	unk	unk	1	0	0	0
BGC0000384	Lyngbya	Lyngbyatoxin	NRP	Cytotoxic,Other	unk	0	0	0	0
BGC0001762	Streptomyces	rubrolone A	Alkaloid	unk	unk	1	0	0	0
BGC0000481	Trichodesmium	trichamide	Cyanobactin	unk	unk	0	0	0	0
BGC0001727	Paenibacillus	paenilan	RiPP	unk	unk	1	0	0	0
BGC0000439	Saccharomonospora	Taromycin A	NRP	Antibacterial	O=C(N[C@H](C(N[C@@H](C(N[C@@H](CC(O)=O)C(N[C@H](C(NCC(N[C@H](C(N[C@@H](CC(O)=O)C(N[C@H](C)C(N[C@H](C(NCC(N[C@@H](C(N[C@H](C(N[C@H]1CC(C2=CC=C(Cl)C=C2N)=O)=O)[C@H](C)CC(O)=O)=O)C)=O)=O)CC(O)=O)=O)=O)=O)CCCN)=O)=O)[C@@H](C)OC1=O)=O)=O)CC(N)=O)=O)CC3=CNC4=C3C=CC(Cl)=C4)/C=C/C=C/CCC	1	1	0	0
BGC0000204	Streptomyces	Benastatin A	Polyketide	Antibacterial,Inhibitor,Other	unk	1	1	0	0
BGC0001804	Streptomyces	tiancimycin	Polyketide	unk	C[C@H]1C[C@H](C(=O)/C=C/C=C/[C@@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O)C)C)C)C	1	0	0	0
BGC0001160	Synechococcus	1-nonadecene	Polyketide	Unknown	unk	0	0	0	0
BGC0001660	Marinactinospora	mathermycin	RiPP	unk	unk	1	0	0	0
BGC0001550	Streptomyces	citrulassin D	RiPP	unk	unk	1	0	0	0
BGC0000582	Streptomyces	cypemycin	Linaridin	Antibacterial,Cytotoxic	CC(N(C)C)C(N/C(C(N1C(CCC1)C(NC(C(N/C(C(N2C(CCC2)C(N/C(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(N/C(C(NC(C(NC(C(NC(C(NC3C(C)C)=O)CC(C)C)=O)CS/C=C\\NC3=O)=O)[C@H](C)CC)=O)=C/C)=O)CO)=O)[H])=O)CCC(N)=O)=O)[C@H](C)CC)=O)C(C)C)=O)CC4=CC=CC=C4)=O)CCC(N)=O)=O)C)=O)C(C)C)=O)=C\\C)=O)=O)=C\\C)=O)C)=O)=O)=C\\C)=O	1	1	0	0
BGC0000128	Pseudomonas	pyoluteorin	Polyketide	unk	unk	0	0	0	0
BGC0000768	Sphingomonas	gellan polysaccharide	Saccharide	unk	unk	0	0	0	0
BGC0001686	Clostridium	N-octanoyl-Met-Phe-H	NRP	unk	unk	1	0	0	0
BGC0000861	Shewanella	eicosapentaenoic acid	Other	unk	unk	0	0	0	0
BGC0001001	Lyngbya	Jamaicamide	NRP	Other	unk	0	0	0	0
BGC0000325	Streptomyces	coelichelin	NRP	unk	unk	1	0	0	0
BGC0001098	Bacillus	iturin	NRP	unk	unk	1	0	0	0
BGC0000705	Streptomyces	kanamycin	Saccharide	unk	unk	1	0	0	0
BGC0000475	Prochloron	patellamide A	Cyanobactin	unk	unk	0	0	0	0
BGC0001072	Streptomyces	Simocyclinone D8	Polyketide	Antibacterial,Cytotoxic	unk	1	1	0	0
BGC0000518	Streptomyces	Informatipeptin	Lantipeptide	Unknown	unk	1	0	0	0
BGC0000080	Sorangium	jerangolid A	Polyketide	unk	CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2CC(=C(C(=O)O2)CO)OC)/C)C	0	0	0	0
BGC0000678	Streptomyces	pentalenolactone	Terpene	unk	unk	1	0	0	0
BGC0000587	Escherichia	Microcin H47	Microcin	unk	unk	0	0	0	0
BGC0001751	Pyxidicoccus	pyxipyrrolone A	NRP	unk	CC(C)[C@@H](O)C(C)/C=C/C=C/C=C(\C)/[C@]1(C)C2CC[C@@H](O)[C@H](C)C=2C2C(=O)NC(=C)C=2[C@@]1([H])C(O)=O	0	0	0	0
BGC0001163	Moorea	1-heptadecene	Polyketide	Unknown	unk	0	0	0	0
BGC0000677	Streptomyces	cyclooctatin	Terpene	Inhibitor	unk	1	0	0	0
BGC0001382	Streptomyces	svaricin	NRP	unk	unk	1	0	0	0
BGC0001575	Ruminococcus	dipeptide aldehydes	NRP	unk	unk	1	0	0	0
BGC0000730	Klebsiella	capsular polysaccharide	Saccharide	unk	unk	0	0	0	0
BGC0000262	Streptomyces	prejadomycin	Polyketide	Unknown	OC1=CC=CC2=C1C(O)=C(C(C[C@@](CC(C)=C3)(O)[C@]4([H])C3=O)=O)C4=C2	1	0	0	0
BGC0000698	Streptomyces	hygromycin A	Saccharide	unk	unk	1	0	0	0
BGC0001113	Burkholderia	spliceostatin	NRP	unk	unk	0	0	0	0
BGC0000354	Actinoplanes	friulimicin	NRP	unk	unk	1	0	0	0
BGC0000979	Aphanizomenon	cylindrospermopsin	NRP	unk	unk	0	0	0	0
BGC0001648	Streptomyces	lasalocid	Polyketide	unk	[H][C@@](C)(CCC1=C(C(O)=O)C(O)=C(C)C=C1)[C@]([H])(O)[C@]([H])(C)C(=O)[C@]([H])(CC)[C@@]1([H])O[C@@](CC)(C[C@@H]1C)[C@@]1([H])CC[C@](O)(CC)[C@H](C)O1	1	0	0	0
BGC0000784	Pseudomonas	O-antigen	Saccharide	unk	unk	0	0	0	0
BGC0000831	Duganella	violacein	Alkaloid	unk	unk	0	0	0	0
BGC0000737	Pasteurella	capsular polysaccharide	Saccharide	unk	unk	0	0	0	0
BGC0001580	Kitasatospora	ebelactone	Polyketide	unk	CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O	1	0	0	0
BGC0000904	Streptomyces	FR900098	Other	unk	unk	1	0	0	0
BGC0000029	Streptomyces	BE-14106	Polyketide	Cytotoxic	unk	1	0	0	0
BGC0000875	Streptomyces	Caprazamycin	Other	Antibacterial,Inhibitor	unk	1	1	0	0
BGC0000603	Streptomyces	cyclothiazomycin A	Thiopeptide	Antifungal,Other	O=C([C@H]1CSC(C2=CSC(C3=CSC(C(NC([C@@H]4CSC(C5=CSC(C6=CC=C(C(N[C@@H](CC(N)=O)C7=N[C@H](C(N/C8=C\\C)=O)CS7)=O)C([C@H](NC9=O)C)=N6)=N5)=N4)=O)=C)=N3)=N2)=N1)N[C@H](C(O)=O)CS[C@@](C)(C(N[C@]([C@H](O)C)([H])C(NCC(N/C(C(N%10[C@H]9CCC%10)=O)=C\\C)=O)=O)=O)NC8=O	1	0	1	0
BGC0001094	Burkholderia	enacyloxin	NRP	unk	unk	0	0	0	0
BGC0000002	Kutzneria	aculeximycin	Polyketide	unk	unk	1	0	0	0
BGC0001813	Streptomyces	tyrobetaine	NRP	unk	unk	1	0	0	0
